Epoch 361, Loss: 1.020857334136963, Test accuracy: 0.6054081320762634
Epoch 362, Loss: 1.0185420513153076, Test accuracy: 0.605157732963562
Epoch 363, Loss: 1.0132359266281128, Test accuracy: 0.6059088706970215
Epoch 364, Loss: 1.0178987979888916, Test accuracy: 0.6064096093177795
Epoch 365, Loss: 1.01387357711792, Test accuracy: 0.6064096093177795
Epoch 366, Loss: 1.0167409181594849, Test accuracy: 0.6074111461639404
Epoch 367, Loss: 1.011164903640747, Test accuracy: 0.607160747051239
Epoch 368, Loss: 1.0080921649932861, Test accuracy: 0.6074111461639404
Epoch 369, Loss: 1.0106769800186157, Test accuracy: 0.6076614856719971
Epoch 370, Loss: 1.00966215133667, Test accuracy: 0.6076614856719971
